speaker,line,words
SCULLY,There's still no sign of Lucas Henry or Jim Summers. The Raliegh police said...,14
MULDER,"No matter what, don't believe him. Boggs created this whole charade to get back at me for putting him on death row. You'd be the next best thing.",28
SCULLY,"Mulder, I never thought I'd say this... but what if there's another explanation?",13
MULDER,Don't... deal with him. He could be trying to claim you as his last victim.,15
SCULLY,"All right, Mr. Boggs... you got your deal.",8
BOGGS,"Thank you, ma'am. Thank you.",5
SCULLY,"Alright, where are they?",4
BOGGS,"Uh... I... uh... I see, like, uh... circles. Uh... I don't know, like... barrels. No, no, bigger, like, uh... huge, uh... vats, uh... factory. Uh, condemned. The old, uh, Blue Devil Brewery up by Morrisville. Oh, God, he's getting, uh, he's getting ready. He... he... he's getting ready to, um, uh... he's getting ready to kill, uh, to kill the d... whoo.",62
SCULLY,"Luther, if you really were psychic...",6
BOGGS,I would have known you lied. That there never was a deal. I know you tried. Scully... Avoid the devil. Don't follow Henry to the devil. Leave that to me.,30
AGENT,Freeze!,1
SCULLY,"Federal agents, we're armed! Drop your weapon.",7
AGENT,There he is!,3
2ND AGENT,Get an ambulance...,3
AGENT,Hold it...,2
2ND AGENT,"It's gonna be alright, kid...",5
AGENT,Somebody get over here! Go away!,6
SCULLY,Go!,1
AGENT,Over here!,2
BOGGS,You come to say goodbye?,5
SCULLY,"I believe... that if you had orchestrated this kidnapping, Lucas Henry would have... been aware of the danger you warned me about. He never would have crossed that bridge. So you saved... Jim Summer's life. But you saved mine as well.",41
BOGGS,"You come for some unfinished business? You want your father's message? Not now. Be there tonight. Be my witness. And when they got me in that chair and they... open up that shield... you get your message. into Luther's cell and puts down his last meal. Boggs looks to the left and sees his dead family again, in black-and-white. Boggs is wearing shackles as he walks down the same hallway. He sees his family lining the halls again, the same way in black-and-white. They whisper to each other. Boggs stops and turns around in emotional pain, but the security guards turn him back around.)",104
PRIEST,"Our father who art in heaven, hallowed be thy name, thy kingdom come. Thy will be done on earth as it is in heaven...",24
MAN,Would you like to make a statement?,7
PRIEST,"...our daily bread and forgive us our trespasses as we forgive those who trespass against us. And lead us not into temptation but deliver us from evil for thine is thy kingdom, thy power and thy glory... Forever and ever. Amen.",41
SCULLY,"I was considering Boggs. If he knew that I was your partner, he could have found out everything he knew about me. About my father...",25
MULDER,Scully.,1
SCULLY,"""Beyond the Sea"" was playing at my parents' wedding. Visions of deceased loved ones are a common psychological phenomena. If he knew that my father had...",26
MULDER,"Dana. After all you've seen, after all the evidence, why can't you believe?",13
SCULLY,I'm afraid. I'm afraid to believe.,6
MULDER,You couldn't face that fear? Even if it meant never knowing what your father wanted to tell you?,18
SCULLY,But I do know.,4
MULDER,How?,1
SCULLY,He was my father.,4
